Еда,гр./мл./шт.
I. Завтрак
  1. Овсянка на воде,50 гр.
  2. Паста арахисовая,30 гр.
  3. Яйцо(вареное),2 шт.
  4. Хлебцы(Dr.Korner),3 шт.

II. Первый перекус
  1. Каша,50 гр.
  2. Хлебцы(Dr.Korner),3 шт.
  3. Сыр легкий 35%(нарезаный ломтиками),3 шт.

III. Обед
  1. Протеин на воде,30 гр.
  2. Орехи,30 гр.
  

IV. Второй перекус
  1. Макароны,75 гр.
  2. Говядина,150 гр.
  3. Овощи

V. Ужин
  1. Творог 1%,150 гр.
  2. Яблоко зеленое/киви(2шт.)/грейпфрут/слива(10шт.),1 шт.

VI. Поздний ужин
  1. Говядина,200 гр.
  2. Салат из овощей
  3. Масло оливковое/льяное,1 ч.л.
