Еда,гр./мл./шт.
I. Завтрак
  1. Овсянка на воде,100 гр.
  2. Орехи,20 гр.
  3. Яйцо,3 шт.
  4. Овощь любой
  5. Чернослив,5 шт.

II. Первый перекус
  1. Творог 5%,200 гр.
  2. Банан,2 шт.
  3. Орехи,20 гр.
  4. Масло оливковое/льяное,1 стл.л.

III. Обед
  1. Протеин на молоке(300мл),50 гр.

IV. Второй перекус
  1. Каша,100 гр.
  2. Шоколад горький,50 гр.
  3. Кофе/чай

V. Ужин
  1. Каша,100 гр.
  2. Филе куриное,200 гр.
  3. Орехи,20 гр.
  4. Салат из овощей
  5. Масло оливковое/льяное,1 стл.л.
